playerid,mlbamid,name,season,age,g,gs,ip,tbf,h,er,hr,so,bb,ibb,hbp,babip,lob_percent,fip,x_fip,ld_percent,hr_fb,f_bv,c_tv,s_fv,o_swing_percent,c_sw_str_percent,x_era,position,ev90,barrels,barrel_percent,k_percent,bb_percent,k_minus_bb_percent,era,xera_gap,fip_era_gap
7836,519326,Hunter Strickland,2024,35,72,0,73.1,294,56,27,10,57,24,1,2,0.22885572139303484,0.75,4.448298182369302,4.881728704784218,0.133333333,0.093457943,93.907173,85.36507937,88.11594203,0.31641791,0.26247849,3.49,RP,103.2,19,0.09004739,19.387755102040817,9.183673469387756,10.204081632653061,3.32421340629275,-0.16578659370725024,-1.1240847760765522
22713,672578,Carlos Hernandez,2024,27,27,0,30,129,24,11,1,27,16,0,1,0.27380952380952384,0.68181818,3.499813175201428,5.435293380779239,0.129411764,0.021276595,97.94059406,NA,90.046875,0.3033033,0.25357143,3.83,RP,102.2,8,0.09411765,20.930232558139537,13.178294573643413,7.751937984496124,3.3,-0.5300000000000002,-0.19981317520142827
17888,642048,Tayler Saucedo,2024,31,53,0,38.2,166,35,15,3,38,18,3,2,0.3047619047619048,0.78740157,3.7613076383521653,4.004004362134085,0.194444444,0.09375,91.31818182,NA,NA,0.36523929,0.29073482,3.12,RP,104.2,5,0.0462963,22.89156626506024,13.855421686746988,9.036144578313253,3.5340314136125652,0.4140314136125651,-0.22727622473960007
17969,663567,Peter Lambert,2024,27,28,3,61.1,280,73,39,7,50,29,2,2,0.34375,0.6581741,4.536045087961265,4.679401969533193,0.299492385,0.106060606,94.56839623,NA,NA,0.27018122,0.24446583,4.46,RP,104,12,0.06030151,17.857142857142858,11.785714285714285,6.071428571428573,5.74468085106383,1.28468085106383,1.2086357631025653
24606,680739,Josh Winder,2024,27,4,0,9,38,7,3,0,10,1,0,2,0.28,0.6,1.9442575560675728,4.128269698388047,0.08,0,95.2,NA,NA,0.33684211,0.29078014,2.74,RP,101.1,1,0.04,26.31578947368421,7.894736842105263,18.421052631578945,3,0.2599999999999998,1.0557424439324272
14527,605347,Jorge Lopez,2024,31,52,0,53,217,46,17,6,50,19,1,2,0.2857142857142857,0.81911263,3.940064795308386,3.951846629523958,0.125874125,0.115384615,95.57333333,NA,NA,0.2716895,0.32044888,3.56,RP,104.8,12,0.08219178,23.04147465437788,10.138248847926267,12.903225806451612,2.8867924528301887,-0.6732075471698113,-1.0532723424781971
10078,573204,Caleb Thielbar,2024,37,59,0,47.1,216,50,28,6,53,24,2,0,0.3308270676691729,0.625,4.096057567717627,4.2050814580924065,0.218978102,0.109090909,93.27792208,NA,NA,0.30165289,0.29312289,4.17,RP,106,14,0.10071942,24.537037037037038,12.037037037037036,12.500000000000002,5.350318471337579,1.1803184713375794,1.2542609036199526
21894,666619,Gregory Santos,2024,24,8,0,7.1,31,7,4,0,6,1,0,1,0.30434782608695654,0.55555556,2.348297711837315,3.379212847084088,0.217391304,0,98.02173913,NA,NA,0.36619718,0.25,3.01,RP,103.3,1,0.04347826,19.35483870967742,6.451612903225806,12.903225806451614,5.070422535211268,2.060422535211268,2.722124823373953
17170,642100,Gabe Speier,2024,29,29,0,23.2,104,19,15,2,33,14,1,2,0.32075471698113206,0.62111801,3.5045080381120117,3.8753332085660626,0.16981132,0.086956521,92.99652778,NA,NA,0.29583333,0.28605201,3.31,RP,105.8,4,0.07272727,31.73076923076923,16.346153846153847,15.384615384615383,5.818965517241379,2.508965517241379,2.3144574791293673
22717,672582,Angel Zerpa,2024,24,60,0,53.2,239,59,23,6,49,19,2,2,0.32515337423312884,0.78212291,3.967722223143652,3.6976169302858017,0.162650602,0.142857142,96.29568106,NA,NA,0.24335378,0.26100629,4.46,RP,105.4,12,0.07100592,20.502092050209207,9.623430962343097,10.87866108786611,3.8909774436090228,-0.5690225563909772,-0.07674477953462944
27472,694363,Jared Shuster,2024,25,39,4,73.1,321,74,35,9,56,33,0,0,0.2914798206278027,0.7309322,4.5846617686059075,5.092273522508577,0.213043478,0.088235294,92.50551471,NA,NA,0.29057592,0.23643411,4.71,RP,103.7,17,0.07327586,17.445482866043612,10.2803738317757,7.165109034267912,4.309165526675787,-0.4008344733242133,-0.2754962419301208
13652,605463,Tayler Scott,2024,32,62,1,68.2,282,45,17,7,71,35,1,4,0.23030303030303031,0.8490566,4.127644969223939,4.16761373027742,0.211764705,0.112903225,92.75460123,NA,85.5122807,0.3125,0.2807309,3.49,RP,101.4,6,0.03488372,25.177304964539005,14.184397163120568,10.992907801418436,2.2434017595307916,-1.2465982404692086,-1.8842432096931478
