Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,NameASCII,PlayerId,MLBAMID
"Jonathan Aranda","TBR",44,143,6,22,14,0,0.083916083,0.223776223,0.1953125,0.263736263,0.234375,0.307692307,0.4296875,0.32012464575000577,0.362,113.02304384263526,-1.3251411393284798,0.8057150850251187,-1.717985987663269,0.3993137921920507,26,17,7,0,12,0,2,1,0,32,30,128,"Jonathan Aranda",21837,666018
"Andruw Monasterio","MIL",59,142,1,14,16,6,0.112676056,0.28169014,0.064,0.297619047,0.208,0.302816901,0.272,0.26550943372954783,0.291,68.0005026622224,0.9490626528859138,-4.484601415748595,-2.7436807602643967,-0.2574252378888029,27,20,5,0,16,0,1,0,0,40,26,125,"Andruw Monasterio",19455,655316
"Grant McCray","SFG",37,130,5,13,10,5,0.046153846,0.43076923,0.177419355,0.317460317,0.201612903,0.238461538,0.379032258,0.26578196057906517,0.252,70.52305555714207,1.7508106157183647,-2.831527166338703,-3.535160183906555,-0.2097736805213042,23,15,3,2,6,0,0,0,0,56,25,124,"Grant McCray",25690,687529
"Curtis Mead","TBR",38,132,1,10,7,2,0.045454545,0.227272727,0.049180327,0.304347826,0.237704918,0.282442748,0.286885245,0.25519760009896664,0.28,67.35203401329048,0.2054610475897789,-4.72554650694049,-2.4113754332065582,-0.28151796211015667,23,25,3,0,6,0,2,1,0,30,29,122,"Curtis Mead",23986,678554
"Andrés Chaparro","WSN",33,132,4,12,15,1,0.053030303,0.181818181,0.198347107,0.236559139,0.214876033,0.28030303,0.41322314,0.301315063328454,0.301,92.8360276661774,-0.9118755534291267,-2.0426841869424877,-1.7008920907974243,0.06802394217903279,25,10,12,0,7,0,4,0,0,24,26,121,"Andres Chaparro",21797,665953
"Dairon Blanco","KCR",88,132,4,37,13,31,0.06060606,0.242424242,0.133333333,0.317647058,0.258333333,0.307692307,0.391666666,0.3056062542475187,0.279,94.29170130574562,4.105009004473686,3.242852262570009,-3.2458953857421875,0.45525284525712784,31,23,4,0,8,0,1,1,1,32,31,120,"Dairon Blanco",19779,680118
"Darell Hernaiz","OAK",48,135,1,8,12,1,0.081481481,0.2,0.05,0.234042553,0.191666666,0.261194029,0.241666666,0.23034390273378857,0.271,49.789493409454366,-0.7316524609923363,-8.48758421552984,-0.5453003644943237,-0.466974880481765,22,19,3,0,11,0,1,2,1,27,23,120,"Darell Hernaiz",26224,687231
"Dylan Crews","WSN",31,132,3,12,8,12,0.083333333,0.196969696,0.134453782,0.252747252,0.218487394,0.287878787,0.352941176,0.2825809396577604,0.325,80.22667828376517,1.5570826306939125,-1.5640688573415864,2.180310010910034,0.5182959878991973,22,17,5,1,11,0,1,1,0,26,26,119,"Dylan Crews",33541,686611
"Luis Torrens","NYM",48,130,3,14,15,0,0.069230769,0.215384615,0.144067796,0.272727272,0.228813559,0.292307692,0.372881355,0.29180257182854874,0.318,89.58334737370802,-1.0475276187062263,-2.6668481349338515,6.045661091804504,0.7967194648888504,28,16,8,0,9,0,2,1,0,28,27,118,"Luis Torrens",15905,620443
"Riley Adams","WSN",41,130,2,10,8,1,0.076923076,0.269230769,0.112068965,0.296296296,0.224137931,0.292307692,0.336206896,0.2749977846478307,0.281,75.12269516600813,-0.4096101000905037,-4.2769110029211035,-2.546605944633484,-0.25695400413964015,28,18,5,1,10,1,2,2,0,35,26,116,"Riley Adams",19864,656180
"Christian Encarnacion-Strand","CIN",29,123,2,13,16,0,0.032520325,0.284552845,0.103448276,0.24691358,0.189655172,0.219512195,0.293103448,0.223142795931033,0.299,33.382448073968796,0.12808477133512497,-9.670312978226965,-0.928027868270874,-0.6709195793833667,24,14,6,0,4,0,1,2,0,35,22,116,"Christian Encarnacion-Strand",30011,687952
"Kody Clemens","PHI",44,120,5,17,18,0,0.041666666,0.241666666,0.228070176,0.25,0.219298245,0.258333333,0.447368421,0.3009244292974472,0.251,91.61979974307964,-0.16629422828555107,-1.3688270181858726,-1.4465062022209167,0.12255877758360584,28,10,9,1,5,0,1,0,0,29,25,114,"Kody Clemens",20572,665019
"Brooks Baldwin","CHW",33,121,2,9,8,4,0.049586776,0.256198347,0.105263158,0.271604938,0.210526315,0.25,0.315789473,0.2489004562298457,0.262,58.36111320802306,1.2767709344625473,-4.488106627352415,1.0824503302574158,0.06587475431516318,23,16,6,0,6,0,0,0,1,31,24,114,"Brooks Baldwin",31394,681460
"José Abreu","HOU",35,120,2,10,7,0,0.033333333,0.233333333,0.07079646,0.142857142,0.123893805,0.166666666,0.194690265,0.16351773738861083,0.198,0.35756531567953914,-0.7298810482025146,-14.411301323572495,-4.183635592460632,-1.5062909282237555,37,10,2,0,4,0,2,1,0,28,14,113,"Jose Abreu",15676,547989
"Jerar Encarnacion","SFG",35,119,5,13,19,1,0.042016806,0.285714285,0.176991151,0.306666666,0.24778761,0.277310924,0.424778761,0.301149013162661,0.348,94.32750622116366,-1.1305476948618889,-1.9377497780369104,-2.991561233997345,-0.09921238247190045,26,18,5,0,5,0,0,1,0,34,28,113,"Jerar Encarnacion",21871,666464
"Michael Stefanic","LAA",40,124,0,8,8,0,0.080645161,0.161290322,0.036363636,0.266666666,0.218181818,0.300813008,0.254545454,0.2577551385251487,0.254,63.328956454403375,-0.40651658922433853,-5.609477479153341,-2.0929778814315796,-0.3675350989973952,28,20,4,0,10,0,3,0,1,20,24,110,"Michael Stefanic",25353,683021
"Trey Sweeney","DET",36,119,4,11,17,2,0.058823529,0.268907563,0.154545454,0.266666666,0.218181818,0.268907563,0.372727272,0.2793314522054015,0.298,81.46888667726842,-0.26808515936136246,-2.791299130288198,3.050600051879883,0.43748068259060674,24,15,5,0,7,0,1,1,0,32,24,110,"Trey Sweeney",29575,700242
"Mike Trout","LAA",29,126,10,17,14,6,0.126984126,0.214285714,0.321100917,0.194444444,0.220183486,0.325396825,0.541284403,0.365490749835968,0.405,139.1123855910432,1.222840778529644,6.861689691501568,-1.5090352147817612,0.9876695368154583,32,11,1,2,16,1,1,0,0,27,24,109,"Mike Trout",10155,545361
"Curt Casali","SFG",41,125,1,12,8,0,0.104,0.176,0.055555556,0.235294117,0.194444444,0.292682926,0.25,0.2536676017249503,0.265,62.369261655673824,-0.2393839880824089,-5.864274028976001,-2.3357086181640625,-0.4163339231399072,35,17,3,0,13,0,2,0,2,22,21,108,"Curt Casali",12510,592200
"Garrett Cooper","- - -",36,116,1,6,11,0,0.060344827,0.301724137,0.093457944,0.295774647,0.205607476,0.267241379,0.29906542,0.2534630134187896,0.321,57.694447110896135,-0.3140122517943382,-5.888696107576707,-1.5647215843200684,-0.3697094285803567,33,15,5,1,7,0,2,0,0,35,22,107,"Garrett Cooper",15279,643265
"Casey Schmitt","SFG",40,113,6,11,16,0,0.03539823,0.221238938,0.224299066,0.272727272,0.252336448,0.28318584,0.476635514,0.3229154459143107,0.306,108.97780746816987,0.35940710455179214,1.5725445704352417,-1.5283626914024353,0.3937726714045853,25,16,4,1,4,0,1,1,0,25,27,107,"Casey Schmitt",27577,669477
"Vaughn Grissom","BOS",31,114,0,10,6,2,0.061403508,0.210526315,0.028571429,0.243902439,0.19047619,0.245614035,0.219047619,0.2131274347765404,0.287,27.913306596844066,0.505062498152256,-8.897918613691608,-1.4881754219532013,-0.679207869913369,23,17,3,0,7,0,1,1,0,24,20,105,"Vaughn Grissom",26031,687093
"Henry Davis","PIT",37,122,1,9,5,0,0.106557377,0.368852459,0.067307692,0.233333333,0.144230769,0.241666666,0.211538461,0.213028284907341,0.226,30.462436878384167,-0.19121353921946138,-10.335945626780184,-0.6153207421302795,-0.7108132593900025,24,10,4,0,13,0,1,2,1,45,15,104,"Henry Davis",29617,680779
"Brett Harris","OAK",36,123,3,15,12,0,0.138211382,0.203252032,0.116504855,0.157894736,0.145631067,0.276422764,0.262135922,0.2520583286518004,0.274,65.06386404492507,-1.4357483521162067,-6.352582824507006,-0.2673622965812683,-0.25918716535964326,26,9,3,0,17,0,2,1,0,25,15,103,"Brett Harris",29788,695391
"Alex Call","WSN",30,113,3,15,14,5,0.10619469,0.168141592,0.181818182,0.402597402,0.343434343,0.424778761,0.525252525,0.4119153708483266,0.314,167.27761585222754,0.35789117589592934,9.448863186046328,-1.9352906346321106,1.1651943814478416,29,22,9,0,12,0,2,0,0,19,34,99,"Alex Call",19296,669743
"Bryan Ramos","CHW",32,108,3,13,11,0,0.064814814,0.203703703,0.131313131,0.226666666,0.202020202,0.252336448,0.333333333,0.2565679639299339,0.282,63.75459470754207,-0.6029298603534698,-5.081942863051019,-2.744696259498596,-0.4355807744221838,22,13,4,0,7,0,0,1,0,22,20,99,"Bryan Ramos",25621,682868
"Heston Kjerstad","BAL",39,114,4,8,14,1,0.087719298,0.289473684,0.141414141,0.338709677,0.252525252,0.350877192,0.393939393,0.3265521962727819,0.295,116.11842751896168,-0.19993315637111664,1.9025529247394593,-2.689229369163513,0.312198184267204,25,19,2,0,10,2,5,0,0,33,25,99,"Heston Kjerstad",31166,677008
"Estevan Florial","CLE",36,111,3,11,11,2,0.099099099,0.369369369,0.193877551,0.259259259,0.173469387,0.263636363,0.367346938,0.27678382179953837,0.247,79.72938615870858,0.9341835230588913,-1.6403318325220777,-1.35993093252182,0.0732302163713065,26,6,6,2,11,0,1,0,1,41,17,98,"Estevan Florial",19151,664314
"Miles Mastrobuoni","CHC",50,106,0,9,4,2,0.066037735,0.160377358,0.030612244,0.231707317,0.193877551,0.245283018,0.224489795,0.21410023435106817,0.294,36.31625220253251,0.8471802100539207,-7.2250913463221735,-0.01424407958984375,-0.38256279262851384,28,16,3,0,7,0,0,1,0,17,19,98,"Miles Mastrobuoni",20017,670156
"Jose Herrera","ARI",42,114,1,11,13,0,0.078947368,0.236842105,0.092783505,0.3,0.226804123,0.289719626,0.319587628,0.27071823862111455,0.25,70.24375109516536,-0.2819724306464195,-4.338405537218324,2.123994469642639,0.16395465315571628,27,16,4,1,9,0,0,1,7,27,22,97,"Jose Herrera",17040,645444
