Name,PlayerId,AVG_cur,OBP_cur,SLG_cur,K_pct_cur,BB_pct_cur,Barrel_pct_cur,BABIP_cur,wOBA_cur,xwOBA_cur,xwOBA_wOBA_gap_cur,PA_cur,Age,mlbamid,AVG_l3,OBP_l3,SLG_l3,K_pct_l3,BB_pct_l3,Barrel_pct_l3,BABIP_l3,wOBA_l3,xwOBA_l3,xwOBA_wOBA_gap_l3,PA_l3,AVG_diff,OBP_diff,SLG_diff,K_pct_diff,BB_pct_diff,Barrel_pct_diff,BABIP_diff,wOBA_diff,xwOBA_diff,xwOBA_wOBA_gap_diff,player_type,AVG_lg_adj_diff,OBP_lg_adj_diff,SLG_lg_adj_diff,K_pct_lg_adj_diff,BB_pct_lg_adj_diff,Barrel_pct_lg_adj_diff,BABIP_lg_adj_diff,wOBA_lg_adj_diff,xwOBA_lg_adj_diff,xwOBA_wOBA_gap_lg_adj_diff
Blake Dunn,29487,0.267,0.32,0.379,21.6,6.4,2.4,0.333,0.312,0.264,-0.048,125,27,694362,0.151,0.305,0.249,34.199,9.957,3.896,0.231,0.268,0.292,0.024,104,0.116,0.015,0.131,-12.599,-3.557,-1.496,0.102,0.044,-0.028,-0.072,hitter,0.119,0.01,0.136,-12.223,-4.345,-1.269,0.105,0.039,-0.033,-0.072
Blake Perkins,19921,0.133,0.235,0.227,23.256,10.465,3.488,0.167,0.219,0.268,0.048,86,29,663368,0.233,0.31,0.339,26.022,9.634,2.495,0.308,0.289,0.277,-0.012,773,-0.1,-0.075,-0.112,-2.766,0.831,0.994,-0.142,-0.07,-0.009,0.061,hitter,-0.098,-0.079,-0.107,-2.39,0.042,1.221,-0.139,-0.074,-0.013,0.061
Blaze Alexander,23789,0.297,0.349,0.413,23.121,5.78,4.046,0.386,0.336,0.354,0.018,173,27,677942,0.235,0.322,0.371,30.61,8.223,5.676,0.333,0.309,0.29,-0.019,451,0.061,0.027,0.042,-7.489,-2.442,-1.63,0.053,0.027,0.064,0.037,hitter,0.064,0.022,0.048,-7.113,-3.231,-1.403,0.056,0.022,0.059,0.037
Blaze Jordan,28199,0.316,0.316,0.632,10.526,0,5.263,0.312,0.401,0.277,-0.124,19,23,691458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bo Bichette,19612,0.247,0.292,0.373,17.555,5.956,5.643,0.277,0.293,0.33,0.038,319,28,666182,0.292,0.338,0.448,16.045,6.043,5.728,0.329,0.339,0.344,0.005,1565,-0.045,-0.046,-0.075,1.509,-0.087,-0.085,-0.052,-0.046,-0.013,0.033,hitter,-0.043,-0.051,-0.069,1.885,-0.876,0.142,-0.049,-0.051,-0.018,0.033
Bo Naylor,21865,0.143,0.2,0.238,23.333,6.667,7.778,0.164,0.2,0.296,0.095,90,26,666310,0.2,0.28,0.375,26.363,9.864,5.653,0.238,0.286,0.282,-0.003,1033,-0.057,-0.08,-0.137,-3.03,-3.198,2.124,-0.074,-0.086,0.013,0.099,hitter,-0.055,-0.084,-0.131,-2.654,-3.986,2.351,-0.071,-0.09,0.009,0.099
Bobby Witt Jr.,25764,0.29,0.364,0.454,17.273,10.303,8.485,0.332,0.357,0.384,0.027,330,26,677951,0.305,0.36,0.529,17.008,7.289,9.703,0.336,0.375,0.38,0.005,2090,-0.015,0.003,-0.076,0.265,3.014,-1.218,-0.005,-0.018,0.004,0.022,hitter,-0.013,-0.001,-0.07,0.641,2.226,-0.991,-0.002,-0.023,-0,0.023
Braden Montgomery,35423,0.217,0.25,0.435,25,4.167,8.333,0.25,0.295,0.385,0.09,24,23,695731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Braden Shewmake,25817,0.243,0.26,0.405,16.456,2.532,5.063,0.254,0.287,0.281,-0.006,79,28,669699,0.122,0.132,0.199,15.122,1.463,2.927,0.125,0.141,0.187,0.045,71,0.121,0.128,0.206,1.334,1.068,2.136,0.129,0.146,0.095,-0.051,hitter,0.123,0.123,0.212,1.71,0.28,2.363,0.132,0.141,0.09,-0.051
Brady House,29993,0.227,0.282,0.399,28.249,7.345,6.78,0.28,0.299,0.32,0.02,177,23,691781,0.234,0.252,0.322,28.467,2.92,2.92,0.31,0.248,0.284,0.036,274,-0.007,0.031,0.077,-0.219,4.425,3.86,-0.029,0.051,0.035,-0.015,hitter,-0.005,0.026,0.083,0.157,3.637,4.087,-0.026,0.046,0.031,-0.015
